                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7439,                 4.8998,                 2.0938,                0.01448,                0.14998,                0.04707,                0.02889,                 1.6507,                 4.9525,                  2.186,             0.00013627,             0.00013627,             0.00013627
                      2,                  1.606,                 4.5522,                 2.0019,                0.79568,                0.03842,                0.06549,                0.03895,                 1.6044,                  4.561,                  2.066,             0.00024802,             0.00024802,             0.00024802
                      3,                 1.6343,                 4.3312,                  2.034,                0.50635,                0.10468,                0.09423,                 0.0563,                 1.7144,                 4.3688,                 2.1347,             0.00033225,             0.00033225,             0.00033225
                      4,                 1.6529,                 4.1055,                  1.999,                0.29258,                 0.1391,                0.08088,                0.04455,                 1.7485,                 4.1686,                 2.0541,             0.00029315,             0.00029315,             0.00029315
                      5,                 1.6076,                 3.8298,                  1.965,                0.25142,                0.20223,                0.14033,                0.08016,                 1.7578,                  4.144,                  2.111,             0.00025187,             0.00025187,             0.00025187
                      6,                 1.5597,                 3.7026,                 1.8965,                0.48398,                0.20324,                 0.1693,                0.09937,                  1.703,                 3.8564,                 2.0505,             0.00021059,             0.00021059,             0.00021059
                      7,                 1.6363,                 3.6413,                 1.9583,                0.58518,                 0.2234,                0.22079,                0.13596,                  1.667,                 3.8215,                 2.0181,              0.0001693,              0.0001693,              0.0001693
                      8,                 1.5302,                 3.4594,                 1.8546,                0.50866,                0.22334,                0.20856,                0.12755,                 1.6932,                 3.7157,                 1.9959,             0.00012802,             0.00012802,             0.00012802
                      9,                 1.4992,                 3.3237,                 1.8175,                0.51012,                0.26399,                0.25183,                 0.1544,                 1.7081,                 3.5784,                  1.952,             8.6736e-05,             8.6736e-05,             8.6736e-05
                     10,                 1.4579,                 3.2273,                 1.7696,                0.62654,                 0.2376,                0.26169,                0.16196,                 1.6599,                  3.561,                 1.9549,             4.5453e-05,             4.5453e-05,             4.5453e-05
